iter,pose_x,pose_y,pose_z,xd_x,xd_y,xd_z,F_x,F_y,F_z,tau0,tau1,tau2
746,0.315033,-0.000046,-0.080200,0.315994,-0.000031,-0.080994,0.060425,0.002213,-0.070190,0.000687,-0.003387,0.010651
751,0.315033,-0.000046,-0.080200,0.315994,-0.000031,-0.080994,0.090408,0.002213,-0.077744,0.000687,0.002045,0.017578
756,0.315048,-0.000046,-0.080185,0.315994,-0.000031,-0.080994,0.044937,0.002213,-0.129395,0.000687,-0.022598,0.003281
761,0.315033,-0.000046,-0.080200,0.315994,-0.000031,-0.080994,0.122681,0.002213,-0.052567,0.000702,0.016525,0.027023
766,0.315063,-0.000046,-0.080215,0.315994,-0.000031,-0.080994,-0.025482,0.002213,-0.048981,0.000687,-0.019012,-0.009216
771,0.315063,-0.000046,-0.080215,0.315994,-0.000031,-0.080994,0.073395,0.002213,-0.072556,0.000687,-0.000809,0.013702
776,0.315048,-0.000046,-0.080231,0.315994,-0.000031,-0.080994,0.055237,0.002213,-0.058212,0.000687,-0.001541,0.010086
781,0.315079,-0.000046,-0.080231,0.315994,-0.000031,-0.080994,-0.013046,0.002213,-0.073090,0.000687,-0.022232,-0.007614
786,0.315079,-0.000046,-0.080231,0.315994,-0.000031,-0.080994,0.074158,0.002213,-0.075607,0.000687,-0.001404,0.013702
791,0.315079,-0.000046,-0.080231,0.315994,-0.000031,-0.080994,0.089035,0.002213,-0.075607,0.000687,0.002258,0.017365
796,0.315079,-0.000046,-0.080231,0.315994,-0.000031,-0.080994,0.091553,0.002213,-0.075607,0.000687,0.002869,0.017990
801,0.315079,-0.000046,-0.080231,0.315994,-0.000031,-0.080994,0.091553,0.002213,-0.075607,0.000687,0.002869,0.017990
806,0.315079,-0.000046,-0.080231,0.315994,-0.000031,-0.080994,0.091553,0.002213,-0.075607,0.000687,0.002869,0.017990
811,0.315079,-0.000046,-0.080231,0.315994,-0.000031,-0.080994,0.091553,0.002213,-0.075607,0.000687,0.002869,0.017990
816,0.315079,-0.000046,-0.080231,0.315994,-0.000031,-0.080994,0.091553,0.002213,-0.075607,0.000687,0.002869,0.017990
821,0.315079,-0.000046,-0.080231,0.315994,-0.000031,-0.080994,0.091553,0.002213,-0.075607,0.000687,0.002869,0.017990
826,0.315079,-0.000046,-0.080231,0.315994,-0.000031,-0.080994,0.091553,0.002213,-0.075607,0.000687,0.002869,0.017990
831,0.315079,-0.000046,-0.080215,0.315994,-0.000031,-0.080994,0.091553,0.002213,-0.126343,0.000687,-0.010315,0.014938
836,0.315063,-0.000046,-0.080215,0.315994,-0.000031,-0.080994,0.127869,0.002213,-0.085602,0.000702,0.009216,0.026321
841,0.315079,-0.000046,-0.080246,0.315994,-0.000031,-0.080994,0.081024,0.002213,-0.027618,0.000687,0.012756,0.018280
846,0.315094,-0.000046,-0.080246,0.315994,-0.000031,-0.080994,0.039444,0.002213,-0.066528,0.000687,-0.007599,0.005707
851,0.315094,-0.000046,-0.080246,0.315994,-0.000031,-0.080994,0.082016,0.002213,-0.073166,0.000687,0.001160,0.015778
856,0.315094,-0.000046,-0.080246,0.315994,-0.000031,-0.080994,0.089111,0.002213,-0.074081,0.000687,0.002670,0.017471
861,0.315140,-0.000046,-0.080231,0.315994,-0.000031,-0.080994,-0.125351,0.002213,-0.145874,0.000687,-0.068817,-0.039627
866,0.315079,-0.000061,-0.080261,0.315994,-0.000031,-0.080994,0.253372,0.052948,0.013962,0.016693,0.066025,0.063202
871,0.315079,-0.000061,-0.080261,0.315994,-0.000031,-0.080994,0.119019,0.011749,-0.058365,0.003708,0.014130,0.025787
876,0.315109,-0.000061,-0.080261,0.315994,-0.000031,-0.080994,-0.004883,0.004654,-0.070496,0.001465,-0.019547,-0.005447
881,0.315109,-0.000061,-0.080261,0.315994,-0.000031,-0.080994,0.073166,0.003738,-0.072556,0.001175,-0.000854,0.013641
886,0.315109,-0.000061,-0.080261,0.315994,-0.000031,-0.080994,0.086212,0.003738,-0.072556,0.001175,0.002350,0.016846
891,0.315109,-0.000061,-0.080261,0.315994,-0.000031,-0.080994,0.088501,0.003738,-0.072556,0.001175,0.002914,0.017410
896,0.315125,-0.000061,-0.080246,0.315994,-0.000031,-0.080994,0.037994,0.003738,-0.123291,0.001175,-0.022720,0.001923
901,0.315155,-0.000046,-0.080246,0.315994,-0.000031,-0.080994,-0.022278,-0.046997,-0.082550,-0.014816,-0.026962,-0.010452
906,0.315140,-0.000046,-0.080261,0.315994,-0.000031,-0.080994,0.102386,-0.006256,-0.039825,-0.001968,0.014847,0.022797
911,0.315109,-0.000046,-0.080276,0.315994,-0.000031,-0.080994,0.139771,0.000610,-0.041733,0.000198,0.023560,0.031876
916,0.315140,-0.000046,-0.080276,0.315994,-0.000031,-0.080994,-0.004044,0.001526,-0.066223,0.000473,-0.018234,-0.004990
921,0.315140,-0.000046,-0.080276,0.315994,-0.000031,-0.080994,0.070572,0.001526,-0.070572,0.000473,-0.000992,0.013123
926,0.315140,-0.000046,-0.080276,0.315994,-0.000031,-0.080994,0.083389,0.001526,-0.071030,0.000473,0.002060,0.016235
931,0.315140,-0.000046,-0.080276,0.315994,-0.000031,-0.080994,0.085449,0.001526,-0.071030,0.000473,0.002563,0.016754
936,0.315140,-0.000046,-0.080276,0.315994,-0.000031,-0.080994,0.085449,0.001526,-0.071030,0.000473,0.002563,0.016754
941,0.315140,-0.000046,-0.080276,0.315994,-0.000031,-0.080994,0.085449,0.001526,-0.071030,0.000473,0.002563,0.016754
946,0.315140,-0.000046,-0.080276,0.315994,-0.000031,-0.080994,0.085449,0.001526,-0.071030,0.000473,0.002563,0.016754
951,0.315140,-0.000046,-0.080276,0.315994,-0.000031,-0.080994,0.085449,0.001526,-0.071030,0.000473,0.002563,0.016754
956,0.315140,-0.000046,-0.080276,0.315994,-0.000031,-0.080994,0.085449,0.001526,-0.071030,0.000473,0.002563,0.016754
961,0.315140,-0.000046,-0.080276,0.315994,-0.000031,-0.080994,0.085449,0.001526,-0.071030,0.000473,0.002563,0.016754
966,0.315140,-0.000046,-0.080276,0.315994,-0.000031,-0.080994,0.085449,0.001526,-0.071030,0.000473,0.002563,0.016754
971,0.315140,-0.000046,-0.080276,0.315994,-0.000031,-0.080994,0.085449,0.001526,-0.071030,0.000473,0.002563,0.016754
976,0.315140,-0.000046,-0.080276,0.315994,-0.000031,-0.080994,0.085449,0.001526,-0.071030,0.000473,0.002563,0.016754
981,0.315140,-0.000046,-0.080276,0.315994,-0.000031,-0.080994,0.085449,0.001526,-0.071030,0.000473,0.002563,0.016754
