iter,pose_x,pose_y,pose_z,xd_x,xd_y,xd_z,F_x,F_y,F_z,tau0,tau1,tau2
726,0.315887,-0.000061,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.016632,-0.029144,0.005249,0.005585,0.011353
731,0.315887,-0.000061,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.016632,-0.029144,0.005249,0.005585,0.011353
736,0.315887,-0.000061,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.016632,-0.029144,0.005249,0.005585,0.011353
741,0.315887,-0.000061,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.016632,-0.029144,0.005249,0.005585,0.011353
746,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,-0.039520,-0.029144,-0.012482,0.005569,0.011353
751,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.000305,-0.029144,0.000092,0.005585,0.011353
756,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007172,-0.029144,0.002258,0.005585,0.011353
761,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
766,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
771,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
776,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
781,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
786,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
791,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
796,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
801,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
806,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
811,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
816,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
821,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
826,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
831,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
836,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
841,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
846,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
851,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
856,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
861,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
866,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
871,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
876,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
881,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
886,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
891,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
896,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
901,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
906,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
911,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
916,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
921,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
926,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
